BusinessSparkVisa,,02/22/2020,,Squarespace,Online Services,-6
BusinessSparkVisa,,02/21/2020,,CAPITAL ONE AUTOPAY PYMT AuthDate 26-J an,Credit Card Payments,6
BusinessSparkVisa,,01/25/2020,,WordPress.com,Business Miscellaneous,-99
BusinessSparkVisa,,01/22/2020,,Squarespace,Online Services,-6
BusinessSparkVisa,,01/21/2020,,CAPITAL ONE AUTOPAY PYMT AuthDate 26-D ec,Credit Card Payments,20.99
JointChecking,,02/13/2020,,USAA FUNDS TRANSFER CR,Transfers,50.00
JointChecking,,02/13/2020,,USAA FUNDS TRANSFER CR,Transfers,175.00
JointChecking,,02/25/2020,,COSTCO GAS #0204         FAIRFAX      VA,Christie - Assistance,-10.7
JointChecking,,02/24/2020,,HARRIS TE 11806 SPECTR   RESTON       VA,Christie - Assistance,-26.65
JointChecking,,02/24/2020,,Epidemic Sound AB        STOCKHOLM,Entertainment,-15.15
JointChecking,,02/24/2020,,TST* CABOOSE BREWING COMPFAIRFAX      VA,Restaurants/Dining,-5.24
JointChecking,,02/21/2020,,TRADER JOE'S #646  QPS   RESTON       VA,Christie - Assistance,-13.79
JointChecking,,02/18/2020,,TRADER JOE'S #646  QPS   RESTON       VA,Christie - Assistance,-25.23
JointChecking,,02/18/2020,,ZAPIER.COM CHARGE        ZAPIER.COM   CA,Christie - Assistance,-24.99
JointChecking,,02/18/2020,,TST* CABOOSE BREWING COMPFAIRFAX      VA,Christie - Assistance,-5.74
JointChecking,,02/14/2020,,JACKSON STUDIO HUE       HERNDON      VA,Christie - Assistance,-156
JointChecking,,02/13/2020,,EASY SPINE               BETHESDA     MD,Christie - Assistance,-40
JointChecking,,02/13/2020,,EASY SPINE               BETHESDA     MD,Christie - Assistance,-40
JointChecking,,02/13/2020,,USAA FUNDS TRANSFER CR,Transfers,50
JointChecking,,02/12/2020,,USAA FUNDS TRANSFER CR,Transfers,175
JointChecking,,02/11/2020,,CAREFIRST BLUECROSS BLUES410-9986820  MD,Christie - Assistance,-235.34
JointChecking,,02/11/2020,,TST* CABOOSE BREWING COMPFAIRFAX      VA,Christie - Assistance,-7.57
JointChecking,,02/10/2020,,WALGREENS #10712         FAIRFAX      VA,Christie - Assistance,-30
JointChecking,,02/10/2020,,TST* CABOOSE BREWING COMPFAIRFAX      VA,Christie - Assistance,-4.24
JointChecking,,02/04/2020,,EASY SPINE               BETHESDA     MD,Christie - Assistance,-40
JointChecking,,01/29/2020,,SQUARESPACE INC.         HTTPSSQUARESPNY,Christie - Assistance,-6
JointChecking,,01/28/2020,,COSTCO GAS #0204         FAIRFAX      VA,Christie - Assistance,-42.24
JointChecking,,01/28/2020,,AMZN Mktp US             AMZN.COM BILLWA,Christie - Assistance,10.57
JointChecking,,01/27/2020,,PENDER VETERINARY CENT   FAIRFAX      VA,Pets/Pet Care,-235
JointChecking,,01/27/2020,,PENDER VETERINARY CENT   FAIRFAX      VA,Pets/Pet Care,-23
JointChecking,,01/24/2020,,Amazon.com*M70AQ6123     AMZN.COM BILLWA,Christie - Assistance,-16.96
JointChecking,,01/24/2020,,FAIRFAX MENTAL HEALTH ANF703-896-7628 VA,Healthcare/Medical,-10
JointChecking,,01/22/2020,,TRADER JOE'S #646  QPS   RESTON       VA,Christie - Assistance,-12.26
JointChecking,,01/21/2020,,EASY SPINE               BETHESDA     MD,Christie - Assistance,-40
JointChecking,,01/14/2020,,EASY SPINE               BETHESDA     MD,Christie - Assistance,-40
