Other Income,Top,,40,
Business Income,Top,,300,
Business Miscellaneous,Top,,-40,1
Other Business Expenses,Top,,0,
Books related to work,Top,,-30,1
Conference,Top, ,0,1
Meals and Entertainment,Top, ,0,
Dining,Top, ,0,1
Parking,Top, ,0,1
Travel - Lodging,Top, ,-50,1
Travel - Transport,Top, ,-100,1
Local Transportation for Business,Top, ,0,1
Uber,Top, ,-20,1
Training,Top, ,-50,1
Service Charges/Fees, , -12,0
Other Transportation,Top, ,-20,1
Office Maintenance,Top,,0,0.1
Office Supplies,Top,,0,1
Online Services,Top,,-47,"0.5	"
Postage and Shipping,Top,,-10,1
Printing,Top,,0,1
Telephone Services,Top,,-80,0.5
Cable/Satellite Services,Top,,-40,0.5
Paychecks/Salary,Top,,5750,
Rent,Top,,-2350,
Healthcare/Medical,Top,,-300,
Health Insurance Premium,Top,,-74,
HSA Funding and Reimb,Top,,-374,
Groceries,Top,,-500,
Utilities,Top,,-70,
Christie - Assistance,Top,,-100,
Charitable Giving,Top,,-25,
Dues and Subscriptions,Top,,0,
Clothing/Shoes,Top,,-300,
Credit Card Payments,Top,,0,
Deposits,Top,,0,
Refunds/Adjustments, Top,,0,
Hobbies,Top,,0,
Electronics,Top,,0,
Entertainment,Top,,-50,
Gasoline/Fuel,Top,,-60,
General Merchandise,Top,,-50,
Gifts,Top,,-200,
Home Improvement,Top,,0,
Insurance,Top,,-60,
Interest,Top,,300,
Personal Care,Top,,-100,
Pets/Pet Care,Top,,0,
Restaurants/Dining,Top,,-100,
Taxes,Top,,-3070,
Transfers,Top,,0,
Rewards,Top,,0,
Travel,Top,,-400,
Automotive Expenses,Top,,0,
Repair-Honda,Top,,-50,
Tax - Honda,Top,, -50,
Home Maintenance,Top,,0,
Other Expenses,Top,,-100,
Expense Reimbursement, Top, ,0,
Retirement Contributions, Top, , 0,
Eric - Education,Top,Other Expenses,0,
Furniture,Top,,-100,
