ChasePersonalCredit,,1/1/17,,Larmour Chiropractic,Healthcare/Medical,-30,
Paypal,,1/1/17,,Leanpub,Other Income,18.04,
BusinessSparkVisa,,1/2/17,,Amazon Video On Demand AMZN.COM/bill WA x8109 USA,Entertainment,-2.99,
ChasePersonalCredit,,1/3/17,,WM SUPERCENTER #2015,Clothing/Shoes,-12.58,
ChasePersonalCredit,,1/3/17,,COSTCO GAS #0204,Gasoline/Fuel,-24.89,
ChasePersonalCredit,,1/3/17,,EXXONMOBIL xxxx6829,Gasoline/Fuel,-5.45,
ChasePersonalCredit,,1/3/17,,SAFEWAY STORExxxx0022,Groceries,-55.83,
JointChecking,,1/3/17,,CLIFTON-CENTR ANIMAL C   CENTREVILLE  VA,Pets/Pet Care,-227.3,
PersonalChecking,,1/3/17,,INOVA            ONLINE PMT ***********3POS,Healthcare/Medical,-100,
ChasePersonalCredit,,1/4/17,,AMAZON MKTPLACE PMTS,Books related to work,-5.89,
ChasePersonalCredit,,1/4/17,,WHOLEFDS FRL x0223,Gifts,-30.35,
ChasePersonalCredit,,1/4/17,,THE HOME DEPOT #4601,Home Maintenance,-7.05,
BusinessSparkVisa,,1/5/17,,COLONIAL PARKING #367 WASHINGTON DC x0016 USA,Parking,-17,
ChasePersonalCredit,,1/5/17,,WAL-MART #2015,Charitable Giving,73.79,
BusinessSparkVisa,,1/6/17,,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA x8109 USA,Books related to work,-25.94,
BusinessSparkVisa,,1/6/17,,TARGET xxxx7904 FAIRFAX VA x2031 USA,Business Miscellaneous,-100.66,
ChasePersonalCredit,,1/6/17,,TARGET xxxx7904,Groceries,-19.07,
ChasePersonalCredit,,1/6/17,,APL* ITUNES.COM/BILL,Online Services,-0.99,
ChasePersonalCredit,,1/6/17,,APL* ITUNES.COM/BILL,Online Services,-0.99,
BusinessSparkVisa,,1/7/17,,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA x8109 USA,Books related to work,-14.16,
ChasePersonalCredit,,1/8/17,,Payment Thank You Special,Credit Card Payments,6625.25,
