ChasePersonalCredit,,5/12/19,,NTB 838,Automotive Expenses,-16
ChasePersonalCredit,,6/17/19,,WIYGUL AUTOMOTIVE CLINIC,Automotive Expenses,-114.35
ChasePersonalCredit,,1/7/19,,RESTON`S USED BOOK SHOP,Books related to work,-7.42
ChasePersonalCredit,,1/15/19,,RESTON`S USED BOOK SHOP,Books related to work,-21.2
ChasePersonalCredit,,1/29/19,,AMZN Mktp US*MB3QO62R0,Books related to work,-14.53
ChasePersonalCredit,,2/4/19,,AMZN Digital*MB4CS0DA2,Books related to work,-11.99
ChasePersonalCredit,,2/4/19,,Amazon.com*MB53V1W41,Books related to work,-10.34
ChasePersonalCredit,,2/5/19,,AMZN Mktp US*MB67L9YE0,Books related to work,-20.11
ChasePersonalCredit,,2/11/19,,RESTON`S USED BOOK SHOP,Books related to work,-12.72
ChasePersonalCredit,,2/25/19,,PAYPAL *LEANPUB,Books related to work,-11.3
ChasePersonalCredit,,3/8/19,,PAYPAL *LEANPUB,Books related to work,-22.98
ChasePersonalCredit,,3/12/19,,RESTON`S USED BOOK SHOP,Books related to work,-6.89
ChasePersonalCredit,,4/12/19,,Amazon.com*MZ8QD0CP0,Books related to work,-22.3
ChasePersonalCredit,,4/29/19,,RESTON`S USED BOOK SHOP,Books related to work,-5.83
ChasePersonalCredit,,5/3/19,,Amazon.com*MZ6IL9UZ0,Books related to work,-15.9
ChasePersonalCredit,,5/3/19,,AMZN Digital*MZ5IE87P0,Books related to work,-9.99
ChasePersonalCredit,,5/5/19,,LEANPUB,Books related to work,-10
ChasePersonalCredit,,5/19/19,,AMZN Digital*MN40Q1PG0,Books related to work,-17.55
ChasePersonalCredit,,5/27/19,,AMZN Digital,Books related to work,17.55
ChasePersonalCredit,,5/28/19,KRAMERBOOKS DC Books - ToF,KRAMERBOOKS,Books related to work,-49.66
ChasePersonalCredit,,7/5/19,Logical Thinking PRocess Kindle,AMZN Digital*MH7WM1JA2,Books related to work,-4.95
ChasePersonalCredit,,7/24/19,Creativity in Coaching Angela Dunbar,AMZN Digital*MA67X9LP1,Books related to work,-6.93
ChasePersonalCredit,,7/28/19,No Limits Enterprise Kirkpatrick,Amazon.com*MH35X0YC0,Books related to work,-18.15
ChasePersonalCredit,,7/29/19,Landscapes of the Heart,AMZN Digital*MA1OU1A01,Books related to work,-13.17
ChasePersonalCredit,,9/22/19,,AMZN Digital*A57HP41L3,Books related to work,-13.99
ChasePersonalCredit,,9/22/19,,EMERSON COLLEGE TR,Books related to work,-10.05
ChasePersonalCredit,,9/22/19,2019 EUROTRIP BLACKWELL S,BLACKWELL S,Books related to work,-26.4
PaypalManual,,1/1/19,,ENTERPRISE AGILE GROUP,Business Income,250
PaypalManual,,1/1/19,,Mark Sheffield,Business Income,200
BusinessChecking,,1/3/19,,EVENTBRITE  INC.,Business Income,4050
BusinessChecking,,1/16/19,,EVENTBRITE  INC.,Business Income,1350
BusinessChecking,,2/4/19,,EVENTBRITE  INC.,Business Income,3240
BusinessChecking,,3/18/19,,EVENTBRITE  INC.,Business Income,2700
BusinessChecking,,4/2/19,,ACH deposit Eventbrite  INC. EDI PYMNTS Connections At Work x-xxx5714,Business Income,3200
BusinessChecking,,5/16/19,,ACH deposit Eventbrite  INC. EDI PYMNTS Connections At Work x-xxx7360,Business Income,1350
BusinessChecking,,5/22/19,,ACH deposit PAYPAL TRANSFER ANDREA CHIOU ...xxx0676,Business Income,850
BusinessChecking,,6/10/19,,Paypal,Business Income,300
BusinessChecking,,7/16/19,,EVENTBRITE  INC.,Business Income,1350
BusinessChecking,,9/3/19, , Paypal,Business Income,700
BusinessChecking,,9/4/19, ," EVENTBRITE, INC.",Business Income,1350
ChasePersonalCredit,,1/14/19,,BEST BUY MHT xxxx2972,Business Miscellaneous,-26.48
ChasePersonalCredit,,1/22/19,,BEST BUY MHT xxxx2972,Business Miscellaneous,26.48
BusinessSparkVisa,,1/25/19,,WordPress.com,Business Miscellaneous,-99
ChasePersonalCredit,,2/4/19,Replace Apple Pen that was lost,BEST BUY MHT xxxx2972,Business Miscellaneous,-95.39
ChasePersonalCredit,,2/7/19,,AMZN Mktp US*MB5Z607Q2,Business Miscellaneous,-4.97
ChasePersonalCredit,,3/3/19,HEADPHONES BEST BUY MHT xxxx2972,BEST BUY MHT xxxx2972,Business Miscellaneous,-190.8
ChasePersonalCredit,,4/14/19,,AMZN Mktp US*MZ08Y63Y1,Business Miscellaneous,-14.95
BusinessChecking,,4/18/19,Payment for UUChurch,#1028 Paid Check,Business Miscellaneous,-700
ChasePersonalCredit,,5/3/19,open leadership Mezick,BROWNPAPERTICKETS COM,Business Miscellaneous,-207.99
ChasePersonalCredit,,5/12/19,,TARGET xxxx0884,Business Miscellaneous,-58.5
ChasePersonalCredit,,5/12/19,,AMZN Mktp US*MN17T5ZZ0,Business Miscellaneous,-30.8
ChasePersonalCredit,,5/12/19,AMZN Mktp US*MN41O3AB1 What,AMZN Mktp US*MN41O3AB1,Business Miscellaneous,-25.56
ChasePersonalCredit,,5/12/19,TARGET xxxx0884 DRINKS reimbursed,TARGET xxxx0884,Business Miscellaneous,-40.87
ChasePersonalCredit,,5/13/19,,OFFICE DEPOT #339,Business Miscellaneous,-7.09
ChasePersonalCredit,,5/13/19,,AMZN Mktp US*MN4KN50H1,Business Miscellaneous,-14.42
ChasePersonalCredit,,5/19/19,,SQ *KICKSTAND CAFE,Business Miscellaneous,-5.55
BusinessSparkVisa,,5/20/19,,SQ *KICKSTAND CAFE,Business Miscellaneous,-793.32
BusinessSparkVisa,,5/20/19,,TST* COOK - NEEDHAM,Business Miscellaneous,-71.13
BusinessSparkVisa,,6/3/19,Boston gift card Jane,Whole Foods Market,Business Miscellaneous,-100
BusinessChecking,,6/18/19,Payment to Apricot Island Marian Caitlin,TRANSFERWISE INC,Business Miscellaneous,-8650.04
ChasePersonalCredit,,7/28/19,stamps ,USPS PO xxxxxx0190,Business Miscellaneous,-11
