Business Miscellaneous
Business Mileage
Business Miscellaneous - Books related to work
Business Miscellaneous - Conference,Sub,Business Miscellaneous,0
Business Miscellaneous - Memberships,Sub,Business Miscellaneous,0
Business Miscellaneous - Dining,Sub,Business Miscellaneous,0
Business Miscellaneous - Parking,Sub,Business Miscellaneous,30
Business Miscellaneous - Travel - Lodging,Sub,Business Miscellaneous,0
Business Mileage,Sub,Business Miscellaneous,0
Business Miscellaneous - Uber,Sub,Travel, 20	
Cable/Satellite Services,Top,,73
Dues and Subscriptions,Top,,0
Electronics,Top,,0
Office Maintenance,Top,,0
Office Supplies
Postage and Shipping
Printing
Service Charges/Fees
Telephone Services,Top,,55
