Automotive Expenses,Top,,0
Repair-Camry,Sub,Automotive Expenses,0
Repair-Honda,Sub,Automotive Expenses,50
Repair-Sienna,Sub,Automotive Expenses,0
Tax - Honda,Sub,Automotive Expenses,0
Tax - Sienna,Sub,Automotive Expenses,61
Business Miscellaneous,Top,,0
Business Mileage,Sub,Business Miscellaneous,0
Business Miscellaneous - Books related to work,Sub,Business Miscellaneous,40
Business Miscellaneous - Conference,Sub,Business Miscellaneous,0
Business Miscellaneous - Memberships,Sub,Business Miscellaneous,0
Business Miscellaneous - Dining,Sub,Business Miscellaneous,0
Business Miscellaneous - Parking,Sub,Business Miscellaneous,30
Business Miscellaneous - Travel - Lodging,Sub,Business Miscellaneous,0
Business Mileage,Sub,Business Miscellaneous,0
Home Maintenance,Top,,50
Home Maintenance - Cleaner,Sub,Home Maintenance,150
Home Maintenance - Lawn,Sub,Home Maintenance,500
Home Maintenance - Pool,Sub,Home Maintenance,375
Divorce,Sub,Other Expenses,0
Eric Counselling,Sub,Other Expenses,150
Eric - Education,Sub,Other Expenses,0
Eric - Misc eg help w clothes,Sub,Other Expenses,0
Eric - Sperm Storage,Sub,Other Expenses,0
Eric - Travel,Sub,Other Expenses,0
Home - HOA,Sub,Other Expenses,42
Other Expenses,Top,,100
Uncategorized,Top,,100
Christie - Assistance,Sub,Other Expenses,0
Advertising,Top,,0
ATM/Cash Withdrawals,Top,,0
Cable/Satellite Services,Top,,73
Charitable Giving,Top,,0
Checks,Top,,0
Child/Dependent Expenses,Top,,0
Clothing/Shoes,Top,,200
Credit Card Payments,Top,,0
Dues and Subscriptions,Top,,0
Education,Top,,0
Electronics,Top,,0
Entertainment,Top,,100
Gasoline/Fuel,Top,,216
General Merchandise,Top,,50
Gifts,Top,,50
Groceries,Top,,600
Healthcare/Medical,Top,,343
Home Improvement,Top,,0
Insurance,Top,,280
Interest,Top,,0
Investment Income,Top,,0
Loans,Top,,0
Mortgages,Top,,0
Office Maintenance,Top,,0
Office Supplies,Top,,0
Online Services,Top,,37
Other Bills,Top,,0
Other Income,Top,,0
Paychecks/Salary,Top,,6800
Personal Care,Top,,42
Pets/Pet Care,Top,,75
Postage and Shipping,Top,,0
Printing,Top,,0
Rent,Top,,0
Restaurants/Dining,Top,,300
Retirement Contributions,Top,,1417
Service Charges/Fees,Top,,0
Taxes,Top,,833
Telephone Services,Top,,55
Transfers,Top,,0
Travel,Top,,200
Business Miscellaneous - Uber,Sub,Travel, 20	
Uber,Sub,Travel, 20	
Utilities,Top,,475
Wages Paid,Top,,0
