Automotive Expenses,Top,,200,
Repair-Camry,Sub,Automotive Expenses,20,
Repair-Honda,Sub,Automotive Expenses,30,
Repair-Sienna,Sub,Automotive Expenses,60,
Tax - Honda,Sub,Automotive Expenses,20,
Tax - Sienna,Sub,Automotive Expenses,10,
Business Miscellaneous,Top,,0,0.5
Business Miscellaneous - Conference,Sub,Business Miscellaneous,0,0.5
Business Miscellaneous - Dining,Sub,Business Miscellaneous,0,0.5
Business Miscellaneous - Parking,Sub,Business Miscellaneous,0,0.5
Business Miscellaneous - Travel - Lodging,Sub,Business Miscellaneous,0,0.5
Business Miscellaneous - Books related to work,Sub,Business Miscellaneous,0,0.5
Home Maintenance - Cleaner,Sub,Home Maintenance,0,
Christie - Assistance,Top,,,
Personal Care,Top,,10,
Restaurants/Dining,Top,,20,
Groceries,Top,,22,
Clothing/Shoes,Top,,24,
